2026-09-17 17:05:07Z | netdiag-server | [NetDiagnostics/Server] wallSim=47.5Hz simClock=60.0Hz (target 60) simSteps=476 catchUpTicks=238 (50%) unityFrames=238 ticksPerFrame=2.0 tickMs avg=2.5 max=8.6 ships=1 bullets=0 unityDt=0.029 maxDelta=0.10 targetFps=60 deltaMs avg=39.8 max=100.0 wallFrameMs avg=42.5 max=224.6 slowFrames(>20ms)=238 | Verdict: SLOW-MO — sim clock at target but wall-clock ticks are behind (deltaTime clamp / present rate)
2026-09-17 17:05:17Z | netdiag-server | [NetDiagnostics/Server] wallSim=62.8Hz simClock=60.0Hz (target 60) simSteps=630 catchUpTicks=315 (50%) unityFrames=315 ticksPerFrame=2.0 tickMs avg=2.8 max=4.9 ships=1 bullets=0 unityDt=0.032 maxDelta=0.10 targetFps=60 deltaMs avg=30.5 max=100.0 wallFrameMs avg=31.9 max=490.0 slowFrames(>20ms)=315 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:05:27Z | netdiag-server | [NetDiagnostics/Server] wallSim=66.9Hz simClock=60.0Hz (target 60) simSteps=670 catchUpTicks=335 (50%) unityFrames=335 ticksPerFrame=2.0 tickMs avg=3.0 max=4.5 ships=1 bullets=4 unityDt=0.031 maxDelta=0.10 targetFps=60 deltaMs avg=29.3 max=100.0 wallFrameMs avg=30.0 max=255.2 slowFrames(>20ms)=335 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:05:37Z | netdiag-server | [NetDiagnostics/Server] wallSim=62.7Hz simClock=60.0Hz (target 60) simSteps=628 catchUpTicks=314 (50%) unityFrames=314 ticksPerFrame=2.0 tickMs avg=3.7 max=18.9 ships=1 bullets=9 unityDt=0.032 maxDelta=0.10 targetFps=60 deltaMs avg=31.9 max=55.6 wallFrameMs avg=32.0 max=55.6 slowFrames(>20ms)=314 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:05:47Z | netdiag-server | [NetDiagnostics/Server] wallSim=59.8Hz simClock=60.0Hz (target 60) simSteps=599 catchUpTicks=281 (47%) unityFrames=318 ticksPerFrame=1.9 tickMs avg=3.6 max=34.9 ships=1 bullets=4 unityDt=0.035 maxDelta=0.10 targetFps=60 deltaMs avg=31.5 max=66.5 wallFrameMs avg=31.6 max=66.0 slowFrames(>20ms)=318 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:05:57Z | netdiag-server | [NetDiagnostics/Server] wallSim=60.3Hz simClock=60.0Hz (target 60) simSteps=603 catchUpTicks=252 (42%) unityFrames=351 ticksPerFrame=1.7 tickMs avg=3.2 max=7.8 ships=1 bullets=1 unityDt=0.028 maxDelta=0.10 targetFps=60 deltaMs avg=28.4 max=100.0 wallFrameMs avg=28.6 max=124.0 slowFrames(>20ms)=351 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:06:07Z | netdiag-server | [NetDiagnostics/Server] wallSim=60.0Hz simClock=60.0Hz (target 60) simSteps=601 catchUpTicks=250 (42%) unityFrames=351 ticksPerFrame=1.7 tickMs avg=3.3 max=4.8 ships=1 bullets=2 unityDt=0.025 maxDelta=0.10 targetFps=60 deltaMs avg=28.5 max=52.0 wallFrameMs avg=28.6 max=51.8 slowFrames(>20ms)=351 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:06:17Z | netdiag-server | [NetDiagnostics/Server] wallSim=60.0Hz simClock=60.0Hz (target 60) simSteps=600 catchUpTicks=277 (46%) unityFrames=323 ticksPerFrame=1.9 tickMs avg=3.6 max=5.6 ships=1 bullets=3 unityDt=0.030 maxDelta=0.10 targetFps=60 deltaMs avg=31.0 max=48.5 wallFrameMs avg=31.1 max=48.3 slowFrames(>20ms)=323 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:06:27Z | netdiag-server | [NetDiagnostics/Server] wallSim=60.0Hz simClock=60.0Hz (target 60) simSteps=602 catchUpTicks=255 (42%) unityFrames=347 ticksPerFrame=1.7 tickMs avg=3.3 max=7.1 ships=1 bullets=0 unityDt=0.027 maxDelta=0.10 targetFps=60 deltaMs avg=28.9 max=49.9 wallFrameMs avg=29.0 max=48.1 slowFrames(>20ms)=347 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:06:37Z | netdiag-server | [NetDiagnostics/Server] wallSim=36.3Hz simClock=60.0Hz (target 60) simSteps=369 catchUpTicks=154 (42%) unityFrames=215 ticksPerFrame=1.7 tickMs avg=3.1 max=4.8 ships=1 bullets=0 unityDt=0.100 maxDelta=0.10 targetFps=60 deltaMs avg=28.9 max=100.0 wallFrameMs avg=47.5 max=4039.3 slowFrames(>20ms)=215 | Verdict: SLOW-MO — sim clock at target but wall-clock ticks are behind (deltaTime clamp / present rate)
2026-09-17 17:11:16Z | netdiag-server | [NetDiagnostics/Server] wallSim=13.1Hz simClock=60.1Hz (target 60) simSteps=140 catchUpTicks=70 (50%) unityFrames=236 ticksPerFrame=0.6 tickMs avg=4.2 max=121.5 ships=0 bullets=0 unityDt=0.100 maxDelta=0.10 targetFps=60 deltaMs avg=31.1 max=100.0 wallFrameMs avg=64.3 max=1908.0 slowFrames(>20ms)=80 | Verdict: SLOW-MO — sim clock at target but wall-clock ticks are behind (deltaTime clamp / present rate)
2026-09-17 17:11:26Z | netdiag-server | [NetDiagnostics/Server] wallSim=33.5Hz simClock=60.0Hz (target 60) simSteps=336 catchUpTicks=168 (50%) unityFrames=168 ticksPerFrame=2.0 tickMs avg=2.3 max=97.5 ships=1 bullets=0 unityDt=0.024 maxDelta=0.10 targetFps=60 deltaMs avg=31.6 max=100.0 wallFrameMs avg=60.0 max=1167.3 slowFrames(>20ms)=128 | Verdict: SLOW-MO — sim clock at target but wall-clock ticks are behind (deltaTime clamp / present rate)
2026-09-17 17:11:36Z | netdiag-server | [NetDiagnostics/Server] wallSim=60.7Hz simClock=60.0Hz (target 60) simSteps=608 catchUpTicks=304 (50%) unityFrames=304 ticksPerFrame=2.0 tickMs avg=2.2 max=9.8 ships=1 bullets=0 unityDt=0.025 maxDelta=0.10 targetFps=60 deltaMs avg=31.3 max=100.0 wallFrameMs avg=33.0 max=391.0 slowFrames(>20ms)=304 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:11:46Z | netdiag-server | [NetDiagnostics/Server] wallSim=56.3Hz simClock=60.0Hz (target 60) simSteps=564 catchUpTicks=282 (50%) unityFrames=282 ticksPerFrame=2.0 tickMs avg=2.2 max=20.4 ships=1 bullets=0 unityDt=0.033 maxDelta=0.10 targetFps=60 deltaMs avg=33.2 max=100.0 wallFrameMs avg=35.6 max=422.1 slowFrames(>20ms)=282 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:11:56Z | netdiag-server | [NetDiagnostics/Server] wallSim=54.8Hz simClock=60.0Hz (target 60) simSteps=548 catchUpTicks=274 (50%) unityFrames=274 ticksPerFrame=2.0 tickMs avg=2.2 max=4.4 ships=1 bullets=0 unityDt=0.027 maxDelta=0.10 targetFps=60 deltaMs avg=36.4 max=100.0 wallFrameMs avg=36.6 max=113.0 slowFrames(>20ms)=274 | Verdict: SLOW-MO — sim clock at target but wall-clock ticks are behind (deltaTime clamp / present rate)
2026-09-17 17:12:06Z | netdiag-server | [NetDiagnostics/Server] wallSim=49.9Hz simClock=60.0Hz (target 60) simSteps=506 catchUpTicks=253 (50%) unityFrames=253 ticksPerFrame=2.0 tickMs avg=2.4 max=9.1 ships=1 bullets=0 unityDt=0.032 maxDelta=0.10 targetFps=60 deltaMs avg=38.5 max=100.0 wallFrameMs avg=39.5 max=193.6 slowFrames(>20ms)=253 | Verdict: SLOW-MO — sim clock at target but wall-clock ticks are behind (deltaTime clamp / present rate)
2026-09-17 17:12:16Z | netdiag-server | [NetDiagnostics/Server] wallSim=67.3Hz simClock=60.0Hz (target 60) simSteps=674 catchUpTicks=337 (50%) unityFrames=337 ticksPerFrame=2.0 tickMs avg=2.3 max=11.0 ships=1 bullets=0 unityDt=0.025 maxDelta=0.10 targetFps=60 deltaMs avg=29.9 max=100.0 wallFrameMs avg=30.4 max=241.6 slowFrames(>20ms)=337 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
2026-09-17 17:12:26Z | netdiag-server | [NetDiagnostics/Server] wallSim=67.7Hz simClock=60.0Hz (target 60) simSteps=678 catchUpTicks=339 (50%) unityFrames=339 ticksPerFrame=2.0 tickMs avg=2.5 max=36.5 ships=1 bullets=0 unityDt=0.030 maxDelta=0.10 targetFps=60 deltaMs avg=29.5 max=95.3 wallFrameMs avg=29.6 max=96.2 slowFrames(>20ms)=339 | Verdict: STRUGGLING — frequent catch-up ticks after frame hitches
